"Year","Area_type","Area_code","Area_description","Maori_descent_code","Maori_descent_description","Census_usually_resident_population_count","Maori_descent_indicator_percent"
2018,"Statistical Area 2","116200","Gulf Harbour South","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","116200","Gulf Harbour South","9","Not stated","0",".."
2018,"Statistical Area 2","116200","Gulf Harbour South","Total","Total","2664",".."
2018,"Statistical Area 2","116200","Gulf Harbour South","Total stated","Total stated","2664","100.0"
2018,"Statistical Area 2","116300","Paremoremo West","1","Maori descent","96","  9.8"
2018,"Statistical Area 2","116300","Paremoremo West","2","No Maori descent","861"," 88.0"
2018,"Statistical Area 2","116300","Paremoremo West","4","Don't know","18","  1.8"
2018,"Statistical Area 2","116300","Paremoremo West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","116300","Paremoremo West","9","Not stated","0",".."
2018,"Statistical Area 2","116300","Paremoremo West","Total","Total","978",".."
2018,"Statistical Area 2","116300","Paremoremo West","Total stated","Total stated","978","100.0"
2018,"Statistical Area 2","116400","Taupaki","1","Maori descent","189"," 11.7"
2018,"Statistical Area 2","116400","Taupaki","2","No Maori descent","1374"," 85.0"
2018,"Statistical Area 2","116400","Taupaki","4","Don't know","54","  3.3"
2018,"Statistical Area 2","116400","Taupaki","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","116400","Taupaki","9","Not stated","0",".."
2018,"Statistical Area 2","116400","Taupaki","Total","Total","1617",".."
2018,"Statistical Area 2","116400","Taupaki","Total stated","Total stated","1617","100.0"
2018,"Statistical Area 2","116500","Long Bay","1","Maori descent","45","  3.3"
2018,"Statistical Area 2","116500","Long Bay","2","No Maori descent","1305"," 95.6"
2018,"Statistical Area 2","116500","Long Bay","4","Don't know","15","  1.1"
2018,"Statistical Area 2","116500","Long Bay","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","116500","Long Bay","9","Not stated","0",".."
2018,"Statistical Area 2","116500","Long Bay","Total","Total","1365",".."
2018,"Statistical Area 2","116500","Long Bay","Total stated","Total stated","1365","100.0"
2018,"Statistical Area 2","116600","Paremoremo East","1","Maori descent","405"," 17.0"
2018,"Statistical Area 2","116600","Paremoremo East","2","No Maori descent","1932"," 81.1"
2018,"Statistical Area 2","116600","Paremoremo East","4","Don't know","45","  1.9"
2018,"Statistical Area 2","116600","Paremoremo East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","116600","Paremoremo East","9","Not stated","0",".."
2018,"Statistical Area 2","116600","Paremoremo East","Total","Total","2382",".."
2018,"Statistical Area 2","116600","Paremoremo East","Total stated","Total stated","2382","100.0"
2018,"Statistical Area 2","116700","Albany Heights","1","Maori descent","147","  4.7"
2018,"Statistical Area 2","116700","Albany Heights","2","No Maori descent","2964"," 94.0"
2018,"Statistical Area 2","116700","Albany Heights","4","Don't know","42","  1.3"
2018,"Statistical Area 2","116700","Albany Heights","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","116700","Albany Heights","9","Not stated","0",".."
2018,"Statistical Area 2","116700","Albany Heights","Total","Total","3153",".."
2018,"Statistical Area 2","116700","Albany Heights","Total stated","Total stated","3153","100.0"
2018,"Statistical Area 2","116800","Awaruku","1","Maori descent","300","  6.8"
2018,"Statistical Area 2","116800","Awaruku","2","No Maori descent","4065"," 92.1"
2018,"Statistical Area 2","116800","Awaruku","4","Don't know","54","  1.2"
2018,"Statistical Area 2","116800","Awaruku","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","116800","Awaruku","9","Not stated","0",".."
2018,"Statistical Area 2","116800","Awaruku","Total","Total","4416",".."
2018,"Statistical Area 2","116800","Awaruku","Total stated","Total stated","4416","100.0"
2018,"Statistical Area 2","116900","Fairview Heights","1","Maori descent","138","  3.5"
2018,"Statistical Area 2","116900","Fairview Heights","2","No Maori descent","3714"," 95.3"
2018,"Statistical Area 2","116900","Fairview Heights","4","Don't know","42","  1.1"
2018,"Statistical Area 2","116900","Fairview Heights","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","116900","Fairview Heights","9","Not stated","0",".."
2018,"Statistical Area 2","116900","Fairview Heights","Total","Total","3897",".."
2018,"Statistical Area 2","116900","Fairview Heights","Total stated","Total stated","3897","100.0"
2018,"Statistical Area 2","117000","Whenuapai","1","Maori descent","603"," 15.5"
2018,"Statistical Area 2","117000","Whenuapai","2","No Maori descent","3198"," 82.3"
2018,"Statistical Area 2","117000","Whenuapai","4","Don't know","87","  2.2"
2018,"Statistical Area 2","117000","Whenuapai","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","117000","Whenuapai","9","Not stated","0",".."
2018,"Statistical Area 2","117000","Whenuapai","Total","Total","3888",".."
2018,"Statistical Area 2","117000","Whenuapai","Total stated","Total stated","3888","100.0"
2018,"Statistical Area 2","117100","Waitakere Ranges North","1","Maori descent","156"," 12.2"
2018,"Statistical Area 2","117100","Waitakere Ranges North","2","No Maori descent","1098"," 85.7"
2018,"Statistical Area 2","117100","Waitakere Ranges North","4","Don't know","24","  1.9"
2018,"Statistical Area 2","117100","Waitakere Ranges North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","117100","Waitakere Ranges North","9","Not stated","0",".."
2018,"Statistical Area 2","117100","Waitakere Ranges North","Total","Total","1281",".."
2018,"Statistical Area 2","117100","Waitakere Ranges North","Total stated","Total stated","1281","100.0"
2018,"Statistical Area 2","117200","Torbay","1","Maori descent","282","  6.6"
2018,"Statistical Area 2","117200","Torbay","2","No Maori descent","3963"," 92.1"
2018,"Statistical Area 2","117200","Torbay","4","Don't know","57","  1.3"
2018,"Statistical Area 2","117200","Torbay","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","117200","Torbay","9","Not stated","0",".."
2018,"Statistical Area 2","117200","Torbay","Total","Total","4305",".."
2018,"Statistical Area 2","117200","Torbay","Total stated","Total stated","4305","100.0"
2018,"Statistical Area 2","117300","Albany Central","1","Maori descent","42","  8.0"
2018,"Statistical Area 2","117300","Albany Central","2","No Maori descent","480"," 91.4"
2018,"Statistical Area 2","117300","Albany Central","4","Don't know","3","  0.6"
2018,"Statistical Area 2","117300","Albany Central","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","117300","Albany Central","9","Not stated","0",".."
2018,"Statistical Area 2","117300","Albany Central","Total","Total","525",".."
2018,"Statistical Area 2","117300","Albany Central","Total stated","Total stated","525","100.0"
2018,"Statistical Area 2","117400","Albany West","1","Maori descent","144","  5.1"
2018,"Statistical Area 2","117400","Albany West","2","No Maori descent","2625"," 93.4"
2018,"Statistical Area 2","117400","Albany West","4","Don't know","39","  1.4"
2018,"Statistical Area 2","117400","Albany West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","117400","Albany West","9","Not stated","0",".."
2018,"Statistical Area 2","117400","Albany West","Total","Total","2811",".."
2018,"Statistical Area 2","117400","Albany West","Total stated","Total stated","2811","100.0"
2018,"Statistical Area 2","117500","Glamorgan","1","Maori descent","318","  9.7"
2018,"Statistical Area 2","117500","Glamorgan","2","No Maori descent","2922"," 88.8"
2018,"Statistical Area 2","117500","Glamorgan","4","Don't know","45","  1.4"
2018,"Statistical Area 2","117500","Glamorgan","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","117500","Glamorgan","9","Not stated","0",".."
2018,"Statistical Area 2","117500","Glamorgan","Total","Total","3291",".."
2018,"Statistical Area 2","117500","Glamorgan","Total stated","Total stated","3291","100.0"
2018,"Statistical Area 2","117600","Oteha East","1","Maori descent","123","  3.8"
2018,"Statistical Area 2","117600","Oteha East","2","No Maori descent","3051"," 95.0"
2018,"Statistical Area 2","117600","Oteha East","4","Don't know","39","  1.2"
2018,"Statistical Area 2","117600","Oteha East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","117600","Oteha East","9","Not stated","0",".."
2018,"Statistical Area 2","117600","Oteha East","Total","Total","3210",".."
2018,"Statistical Area 2","117600","Oteha East","Total stated","Total stated","3210","100.0"
2018,"Statistical Area 2","117700","Northcross","1","Maori descent","228","  7.0"
2018,"Statistical Area 2","117700","Northcross","2","No Maori descent","3009"," 91.8"
2018,"Statistical Area 2","117700","Northcross","4","Don't know","36","  1.1"
2018,"Statistical Area 2","117700","Northcross","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","117700","Northcross","9","Not stated","0",".."
2018,"Statistical Area 2","117700","Northcross","Total","Total","3276",".."
2018,"Statistical Area 2","117700","Northcross","Total stated","Total stated","3276","100.0"
2018,"Statistical Area 2","117800","Oteha West","1","Maori descent","30","  1.6"
2018,"Statistical Area 2","117800","Oteha West","2","No Maori descent","1848"," 97.2"
2018,"Statistical Area 2","117800","Oteha West","4","Don't know","27","  1.4"
2018,"Statistical Area 2","117800","Oteha West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","117800","Oteha West","9","Not stated","0",".."
2018,"Statistical Area 2","117800","Oteha West","Total","Total","1902",".."
2018,"Statistical Area 2","117800","Oteha West","Total stated","Total stated","1902","100.0"
2018,"Statistical Area 2","117900","Waiake","1","Maori descent","252","  6.5"
2018,"Statistical Area 2","117900","Waiake","2","No Maori descent","3564"," 91.7"
2018,"Statistical Area 2","117900","Waiake","4","Don't know","66","  1.7"
2018,"Statistical Area 2","117900","Waiake","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","117900","Waiake","9","Not stated","0",".."
2018,"Statistical Area 2","117900","Waiake","Total","Total","3885",".."
2018,"Statistical Area 2","117900","Waiake","Total stated","Total stated","3885","100.0"
2018,"Statistical Area 2","118000","Waitakere","1","Maori descent","345"," 17.8"
2018,"Statistical Area 2","118000","Waitakere","2","No Maori descent","1527"," 78.9"
2018,"Statistical Area 2","118000","Waitakere","4","Don't know","63","  3.3"
2018,"Statistical Area 2","118000","Waitakere","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","118000","Waitakere","9","Not stated","0",".."
2018,"Statistical Area 2","118000","Waitakere","Total","Total","1935",".."
2018,"Statistical Area 2","118000","Waitakere","Total stated","Total stated","1935","100.0"
2018,"Statistical Area 2","118100","Albany South","1","Maori descent","165","  4.8"
2018,"Statistical Area 2","118100","Albany South","2","No Maori descent","3207"," 94.2"
2018,"Statistical Area 2","118100","Albany South","4","Don't know","36","  1.1"
2018,"Statistical Area 2","118100","Albany South","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","118100","Albany South","9","Not stated","0",".."
2018,"Statistical Area 2","118100","Albany South","Total","Total","3405",".."
2018,"Statistical Area 2","118100","Albany South","Total stated","Total stated","3405","100.0"
2018,"Statistical Area 2","118200","Browns Bay South West","1","Maori descent","276","  6.5"
2018,"Statistical Area 2","118200","Browns Bay South West","2","No Maori descent","3894"," 92.3"
2018,"Statistical Area 2","118200","Browns Bay South West","4","Don't know","51","  1.2"
2018,"Statistical Area 2","118200","Browns Bay South West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","118200","Browns Bay South West","9","Not stated","0",".."
2018,"Statistical Area 2","118200","Browns Bay South West","Total","Total","4221",".."
2018,"Statistical Area 2","118200","Browns Bay South West","Total stated","Total stated","4221","100.0"
2018,"Statistical Area 2","118300","Browns Bay Central","1","Maori descent","165","  5.8"
2018,"Statistical Area 2","118300","Browns Bay Central","2","No Maori descent","2640"," 92.8"
2018,"Statistical Area 2","118300","Browns Bay Central","4","Don't know","39","  1.4"
2018,"Statistical Area 2","118300","Browns Bay Central","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","118300","Browns Bay Central","9","Not stated","0",".."
2018,"Statistical Area 2","118300","Browns Bay Central","Total","Total","2844",".."
2018,"Statistical Area 2","118300","Browns Bay Central","Total stated","Total stated","2844","100.0"
2018,"Statistical Area 2","118400","Schnapper Rock","1","Maori descent","174","  4.4"
2018,"Statistical Area 2","118400","Schnapper Rock","2","No Maori descent","3699"," 93.9"
2018,"Statistical Area 2","118400","Schnapper Rock","4","Don't know","63","  1.6"
2018,"Statistical Area 2","118400","Schnapper Rock","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","118400","Schnapper Rock","9","Not stated","0",".."
2018,"Statistical Area 2","118400","Schnapper Rock","Total","Total","3939",".."
2018,"Statistical Area 2","118400","Schnapper Rock","Total stated","Total stated","3939","100.0"
2018,"Statistical Area 2","118500","Pinehill","1","Maori descent","132","  3.1"
2018,"Statistical Area 2","118500","Pinehill","2","No Maori descent","4092"," 95.7"
2018,"Statistical Area 2","118500","Pinehill","4","Don't know","51","  1.2"
2018,"Statistical Area 2","118500","Pinehill","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","118500","Pinehill","9","Not stated","0",".."
2018,"Statistical Area 2","118500","Pinehill","Total","Total","4275",".."
2018,"Statistical Area 2","118500","Pinehill","Total stated","Total stated","4275","100.0"
2018,"Statistical Area 2","118600","North Harbour","1","Maori descent","81","  9.9"
2018,"Statistical Area 2","118600","North Harbour","2","No Maori descent","717"," 87.9"
2018,"Statistical Area 2","118600","North Harbour","4","Don't know","15","  1.8"
2018,"Statistical Area 2","118600","North Harbour","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","118600","North Harbour","9","Not stated","0",".."
2018,"Statistical Area 2","118600","North Harbour","Total","Total","816",".."
2018,"Statistical Area 2","118600","North Harbour","Total stated","Total stated","816","100.0"
2018,"Statistical Area 2","118700","Browns Bay South East","1","Maori descent","168","  5.7"
2018,"Statistical Area 2","118700","Browns Bay South East","2","No Maori descent","2727"," 93.0"
2018,"Statistical Area 2","118700","Browns Bay South East","4","Don't know","36","  1.2"
2018,"Statistical Area 2","118700","Browns Bay South East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","118700","Browns Bay South East","9","Not stated","0",".."
2018,"Statistical Area 2","118700","Browns Bay South East","Total","Total","2931",".."
2018,"Statistical Area 2","118700","Browns Bay South East","Total stated","Total stated","2931","100.0"
2018,"Statistical Area 2","118800","Westgate Central","1","Maori descent","12"," 28.6"
2018,"Statistical Area 2","118800","Westgate Central","2","No Maori descent","30"," 71.4"
2018,"Statistical Area 2","118800","Westgate Central","4","Don't know","0","  0.0"
2018,"Statistical Area 2","118800","Westgate Central","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","118800","Westgate Central","9","Not stated","0",".."
2018,"Statistical Area 2","118800","Westgate Central","Total","Total","42",".."
2018,"Statistical Area 2","118800","Westgate Central","Total stated","Total stated","42","100.0"
2018,"Statistical Area 2","118900","Greenhithe West","1","Maori descent","249","  7.1"
2018,"Statistical Area 2","118900","Greenhithe West","2","No Maori descent","3201"," 91.4"
2018,"Statistical Area 2","118900","Greenhithe West","4","Don't know","48","  1.4"
2018,"Statistical Area 2","118900","Greenhithe West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","118900","Greenhithe West","9","Not stated","0",".."
2018,"Statistical Area 2","118900","Greenhithe West","Total","Total","3501",".."
2018,"Statistical Area 2","118900","Greenhithe West","Total stated","Total stated","3501","100.0"
2018,"Statistical Area 2","119000","Rothesay Bay","1","Maori descent","189","  6.5"
2018,"Statistical Area 2","119000","Rothesay Bay","2","No Maori descent","2667"," 92.4"
2018,"Statistical Area 2","119000","Rothesay Bay","4","Don't know","27","  0.9"
2018,"Statistical Area 2","119000","Rothesay Bay","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","119000","Rothesay Bay","9","Not stated","0",".."
2018,"Statistical Area 2","119000","Rothesay Bay","Total","Total","2886",".."
2018,"Statistical Area 2","119000","Rothesay Bay","Total stated","Total stated","2886","100.0"
2018,"Statistical Area 2","119100","Greenhithe East","1","Maori descent","165","  5.3"
2018,"Statistical Area 2","119100","Greenhithe East","2","No Maori descent","2889"," 93.4"
2018,"Statistical Area 2","119100","Greenhithe East","4","Don't know","42","  1.4"
2018,"Statistical Area 2","119100","Greenhithe East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","119100","Greenhithe East","9","Not stated","0",".."
2018,"Statistical Area 2","119100","Greenhithe East","Total","Total","3093",".."
2018,"Statistical Area 2","119100","Greenhithe East","Total stated","Total stated","3093","100.0"
2018,"Statistical Area 2","119200","Hobsonville","1","Maori descent","93","  7.9"
2018,"Statistical Area 2","119200","Hobsonville","2","No Maori descent","1062"," 90.5"
2018,"Statistical Area 2","119200","Hobsonville","4","Don't know","15","  1.3"
2018,"Statistical Area 2","119200","Hobsonville","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","119200","Hobsonville","9","Not stated","0",".."
2018,"Statistical Area 2","119200","Hobsonville","Total","Total","1173",".."
2018,"Statistical Area 2","119200","Hobsonville","Total stated","Total stated","1173","100.0"
2018,"Statistical Area 2","119300","Inlet Waitemata Harbour","1","Maori descent","12"," 14.3"
2018,"Statistical Area 2","119300","Inlet Waitemata Harbour","2","No Maori descent","72"," 85.7"
2018,"Statistical Area 2","119300","Inlet Waitemata Harbour","4","Don't know","0","  0.0"
2018,"Statistical Area 2","119300","Inlet Waitemata Harbour","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","119300","Inlet Waitemata Harbour","9","Not stated","0",".."
2018,"Statistical Area 2","119300","Inlet Waitemata Harbour","Total","Total","84",".."
2018,"Statistical Area 2","119300","Inlet Waitemata Harbour","Total stated","Total stated","84","100.0"
2018,"Statistical Area 2","119400","Greenhithe South","1","Maori descent","132","  6.6"
2018,"Statistical Area 2","119400","Greenhithe South","2","No Maori descent","1839"," 92.0"
2018,"Statistical Area 2","119400","Greenhithe South","4","Don't know","27","  1.4"
2018,"Statistical Area 2","119400","Greenhithe South","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","119400","Greenhithe South","9","Not stated","0",".."
2018,"Statistical Area 2","119400","Greenhithe South","Total","Total","1998",".."
2018,"Statistical Area 2","119400","Greenhithe South","Total stated","Total stated","1998","100.0"
2018,"Statistical Area 2","119500","Murrays Bay West","1","Maori descent","159","  6.1"
2018,"Statistical Area 2","119500","Murrays Bay West","2","No Maori descent","2433"," 92.6"
2018,"Statistical Area 2","119500","Murrays Bay West","4","Don't know","36","  1.4"
2018,"Statistical Area 2","119500","Murrays Bay West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","119500","Murrays Bay West","9","Not stated","0",".."
2018,"Statistical Area 2","119500","Murrays Bay West","Total","Total","2628",".."
2018,"Statistical Area 2","119500","Murrays Bay West","Total stated","Total stated","2628","100.0"
2018,"Statistical Area 2","119600","Westgate South","1","Maori descent","312"," 17.6"
2018,"Statistical Area 2","119600","Westgate South","2","No Maori descent","1401"," 79.2"
2018,"Statistical Area 2","119600","Westgate South","4","Don't know","54","  3.1"
2018,"Statistical Area 2","119600","Westgate South","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","119600","Westgate South","9","Not stated","0",".."
2018,"Statistical Area 2","119600","Westgate South","Total","Total","1770",".."
2018,"Statistical Area 2","119600","Westgate South","Total stated","Total stated","1770","100.0"
2018,"Statistical Area 2","119700","Windsor Park","1","Maori descent","69","  4.1"
2018,"Statistical Area 2","119700","Windsor Park","2","No Maori descent","1599"," 95.0"
2018,"Statistical Area 2","119700","Windsor Park","4","Don't know","15","  0.9"
2018,"Statistical Area 2","119700","Windsor Park","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","119700","Windsor Park","9","Not stated","0",".."
2018,"Statistical Area 2","119700","Windsor Park","Total","Total","1683",".."
2018,"Statistical Area 2","119700","Windsor Park","Total stated","Total stated","1683","100.0"
2018,"Statistical Area 2","119800","West Harbour West","1","Maori descent","957"," 22.1"
2018,"Statistical Area 2","119800","West Harbour West","2","No Maori descent","3234"," 74.7"
2018,"Statistical Area 2","119800","West Harbour West","4","Don't know","141","  3.3"
2018,"Statistical Area 2","119800","West Harbour West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","119800","West Harbour West","9","Not stated","0",".."
2018,"Statistical Area 2","119800","West Harbour West","Total","Total","4332",".."
2018,"Statistical Area 2","119800","West Harbour West","Total stated","Total stated","4332","100.0"
2018,"Statistical Area 2","119900","Unsworth Heights West","1","Maori descent","96","  4.1"
2018,"Statistical Area 2","119900","Unsworth Heights West","2","No Maori descent","2202"," 94.8"
2018,"Statistical Area 2","119900","Unsworth Heights West","4","Don't know","24","  1.0"
2018,"Statistical Area 2","119900","Unsworth Heights West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","119900","Unsworth Heights West","9","Not stated","0",".."
2018,"Statistical Area 2","119900","Unsworth Heights West","Total","Total","2322",".."
2018,"Statistical Area 2","119900","Unsworth Heights West","Total stated","Total stated","2322","100.0"
2018,"Statistical Area 2","120000","Murrays Bay East","1","Maori descent","111","  5.2"
2018,"Statistical Area 2","120000","Murrays Bay East","2","No Maori descent","1992"," 93.3"
2018,"Statistical Area 2","120000","Murrays Bay East","4","Don't know","33","  1.5"
2018,"Statistical Area 2","120000","Murrays Bay East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","120000","Murrays Bay East","9","Not stated","0",".."
2018,"Statistical Area 2","120000","Murrays Bay East","Total","Total","2136",".."
2018,"Statistical Area 2","120000","Murrays Bay East","Total stated","Total stated","2136","100.0"
2018,"Statistical Area 2","120100","Birdwood West","1","Maori descent","129"," 21.3"
2018,"Statistical Area 2","120100","Birdwood West","2","No Maori descent","456"," 75.2"
2018,"Statistical Area 2","120100","Birdwood West","4","Don't know","21","  3.5"
2018,"Statistical Area 2","120100","Birdwood West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","120100","Birdwood West","9","Not stated","0",".."
2018,"Statistical Area 2","120100","Birdwood West","Total","Total","606",".."
2018,"Statistical Area 2","120100","Birdwood West","Total stated","Total stated","606","100.0"
2018,"Statistical Area 2","120200","Hobsonville Point","1","Maori descent","273","  7.3"
2018,"Statistical Area 2","120200","Hobsonville Point","2","No Maori descent","3453"," 91.7"
2018,"Statistical Area 2","120200","Hobsonville Point","4","Don't know","36","  1.0"
2018,"Statistical Area 2","120200","Hobsonville Point","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","120200","Hobsonville Point","9","Not stated","0",".."
2018,"Statistical Area 2","120200","Hobsonville Point","Total","Total","3765",".."
2018,"Statistical Area 2","120200","Hobsonville Point","Total stated","Total stated","3765","100.0"
2018,"Statistical Area 2","120300","West Harbour Clearwater Cove","1","Maori descent","375","  8.6"
2018,"Statistical Area 2","120300","West Harbour Clearwater Cove","2","No Maori descent","3915"," 90.1"
2018,"Statistical Area 2","120300","West Harbour Clearwater Cove","4","Don't know","54","  1.2"
2018,"Statistical Area 2","120300","West Harbour Clearwater Cove","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","120300","West Harbour Clearwater Cove","9","Not stated","0",".."
2018,"Statistical Area 2","120300","West Harbour Clearwater Cove","Total","Total","4344",".."
2018,"Statistical Area 2","120300","West Harbour Clearwater Cove","Total stated","Total stated","4344","100.0"
2018,"Statistical Area 2","120400","Unsworth Heights East","1","Maori descent","267","  7.5"
2018,"Statistical Area 2","120400","Unsworth Heights East","2","No Maori descent","3261"," 91.4"
2018,"Statistical Area 2","120400","Unsworth Heights East","4","Don't know","42","  1.2"
2018,"Statistical Area 2","120400","Unsworth Heights East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","120400","Unsworth Heights East","9","Not stated","0",".."
2018,"Statistical Area 2","120400","Unsworth Heights East","Total","Total","3567",".."
2018,"Statistical Area 2","120400","Unsworth Heights East","Total stated","Total stated","3567","100.0"
2018,"Statistical Area 2","120500","Mairangi Bay North","1","Maori descent","192","  6.6"
2018,"Statistical Area 2","120500","Mairangi Bay North","2","No Maori descent","2682"," 92.5"
2018,"Statistical Area 2","120500","Mairangi Bay North","4","Don't know","24","  0.8"
2018,"Statistical Area 2","120500","Mairangi Bay North","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","120500","Mairangi Bay North","9","Not stated","0",".."
2018,"Statistical Area 2","120500","Mairangi Bay North","Total","Total","2901",".."
2018,"Statistical Area 2","120500","Mairangi Bay North","Total stated","Total stated","2901","100.0"
2018,"Statistical Area 2","120600","Massey Central","1","Maori descent","732"," 21.8"
2018,"Statistical Area 2","120600","Massey Central","2","No Maori descent","2562"," 76.2"
2018,"Statistical Area 2","120600","Massey Central","4","Don't know","66","  2.0"
2018,"Statistical Area 2","120600","Massey Central","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","120600","Massey Central","9","Not stated","0",".."
2018,"Statistical Area 2","120600","Massey Central","Total","Total","3363",".."
2018,"Statistical Area 2","120600","Massey Central","Total stated","Total stated","3363","100.0"
2018,"Statistical Area 2","120700","West Harbour Luckens Point","1","Maori descent","231","  8.6"
2018,"Statistical Area 2","120700","West Harbour Luckens Point","2","No Maori descent","2424"," 89.9"
2018,"Statistical Area 2","120700","West Harbour Luckens Point","4","Don't know","42","  1.6"
2018,"Statistical Area 2","120700","West Harbour Luckens Point","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","120700","West Harbour Luckens Point","9","Not stated","0",".."
2018,"Statistical Area 2","120700","West Harbour Luckens Point","Total","Total","2697",".."
2018,"Statistical Area 2","120700","West Harbour Luckens Point","Total stated","Total stated","2697","100.0"
2018,"Statistical Area 2","120800","Mairangi Bay South","1","Maori descent","186","  6.8"
2018,"Statistical Area 2","120800","Mairangi Bay South","2","No Maori descent","2532"," 92.2"
2018,"Statistical Area 2","120800","Mairangi Bay South","4","Don't know","27","  1.0"
2018,"Statistical Area 2","120800","Mairangi Bay South","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","120800","Mairangi Bay South","9","Not stated","0",".."
2018,"Statistical Area 2","120800","Mairangi Bay South","Total","Total","2745",".."
2018,"Statistical Area 2","120800","Mairangi Bay South","Total stated","Total stated","2745","100.0"
2018,"Statistical Area 2","120900","Massey Royal Road West","1","Maori descent","684"," 22.6"
2018,"Statistical Area 2","120900","Massey Royal Road West","2","No Maori descent","2271"," 75.2"
2018,"Statistical Area 2","120900","Massey Royal Road West","4","Don't know","63","  2.1"
2018,"Statistical Area 2","120900","Massey Royal Road West","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","120900","Massey Royal Road West","9","Not stated","0",".."
2018,"Statistical Area 2","120900","Massey Royal Road West","Total","Total","3021",".."
2018,"Statistical Area 2","120900","Massey Royal Road West","Total stated","Total stated","3021","100.0"
2018,"Statistical Area 2","121000","Bayview East","1","Maori descent","384"," 10.6"
2018,"Statistical Area 2","121000","Bayview East","2","No Maori descent","3171"," 87.6"
2018,"Statistical Area 2","121000","Bayview East","4","Don't know","66","  1.8"
2018,"Statistical Area 2","121000","Bayview East","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","121000","Bayview East","9","Not stated","0",".."
2018,"Statistical Area 2","121000","Bayview East","Total","Total","3618",".."
2018,"Statistical Area 2","121000","Bayview East","Total stated","Total stated","3618","100.0"
2018,"Statistical Area 2","121100","Swanson Rural","1","Maori descent","411"," 17.5"
2018,"Statistical Area 2","121100","Swanson Rural","2","No Maori descent","1869"," 79.4"
2018,"Statistical Area 2","121100","Swanson Rural","4","Don't know","72","  3.1"
2018,"Statistical Area 2","121100","Swanson Rural","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","121100","Swanson Rural","9","Not stated","0",".."
2018,"Statistical Area 2","121100","Swanson Rural","Total","Total","2355",".."
2018,"Statistical Area 2","121100","Swanson Rural","Total stated","Total stated","2355","100.0"
2018,"Statistical Area 2","121200","Sunnynook South","1","Maori descent","186","  7.0"
2018,"Statistical Area 2","121200","Sunnynook South","2","No Maori descent","2454"," 91.8"
2018,"Statistical Area 2","121200","Sunnynook South","4","Don't know","33","  1.2"
2018,"Statistical Area 2","121200","Sunnynook South","7","Response unidentifiable","0",".."
2018,"Statistical Area 2","121200","Sunnynook South","9","Not stated","0",".."
2018,"Statistical Area 2","121200","Sunnynook South","Total","Total","2673",".."
2018,"Statistical Area 2","121200","Sunnynook South","Total stated","Total stated","2673","100.0"
2018,"Statistical Area 2","121300","Sunnynook North","1","Maori descent","210","  7.3"
